City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mwinilunga,-11.7358,24.4293,60.67,96,83,1.01,ZM,2022-04-06 00:40:27,broken clouds
1,Jamestown,42.097,-79.2353,55.04,48,0,6.91,US,2022-04-06 00:36:01,clear sky
2,Sangar,63.9242,127.4739,1.65,93,100,4.92,RU,2022-04-06 00:40:28,overcast clouds
3,Kaitangata,-46.2817,169.8464,54.19,64,60,20.18,NZ,2022-04-06 00:40:28,broken clouds
4,Tiksi,71.6872,128.8694,-10.43,100,100,3.4,RU,2022-04-06 00:40:28,overcast clouds
5,Coquimbo,-29.9533,-71.3436,61.72,77,6,2.42,CL,2022-04-06 00:37:15,clear sky
6,La Palma,33.8464,-118.0467,86.67,65,0,10.36,US,2022-04-06 00:40:29,clear sky
7,Saskylakh,71.9167,114.0833,-13.0,97,62,4.38,RU,2022-04-06 00:40:29,broken clouds
8,Sakaiminato,35.55,133.2333,60.78,59,20,14.97,JP,2022-04-06 00:40:29,few clouds
9,Tuktoyaktuk,69.4541,-133.0374,-5.8,71,20,9.22,CA,2022-04-06 00:40:30,few clouds
10,Ostrovnoy,68.0531,39.5131,21.6,90,100,14.67,RU,2022-04-06 00:40:30,overcast clouds
11,Waycross,31.2136,-82.354,66.25,94,100,0.0,US,2022-04-06 00:40:30,moderate rain
12,Havoysund,70.9963,24.6622,32.23,75,100,31.38,NO,2022-04-06 00:40:30,overcast clouds
13,Busselton,-33.65,115.3333,62.98,61,98,8.99,AU,2022-04-06 00:40:31,overcast clouds
14,The Valley,18.217,-63.0578,78.82,76,17,17.78,AI,2022-04-06 00:40:31,few clouds
15,Maragogi,-9.0122,-35.2225,77.32,84,66,4.54,BR,2022-04-06 00:40:03,broken clouds
16,Qui Nhon,13.7667,109.2333,76.17,80,100,19.26,VN,2022-04-06 00:40:31,overcast clouds
17,Shar,49.5886,81.0453,38.91,77,17,10.11,KZ,2022-04-06 00:40:32,few clouds
18,Malatya,38.5,38.0,48.25,46,100,5.75,TR,2022-04-06 00:40:32,overcast clouds
19,Bluff,-46.6,168.3333,52.88,69,86,33.51,NZ,2022-04-06 00:40:32,overcast clouds
20,Te Anau,-45.4167,167.7167,52.18,64,93,7.23,NZ,2022-04-06 00:40:33,overcast clouds
21,Mataura,-46.1927,168.8643,50.31,78,99,12.73,NZ,2022-04-06 00:40:33,overcast clouds
22,Puerto Ayora,-0.7393,-90.3518,78.06,86,25,7.09,EC,2022-04-06 00:40:33,scattered clouds
23,Ushuaia,-54.8,-68.3,37.06,87,40,25.32,AR,2022-04-06 00:40:33,scattered clouds
24,Christchurch,-43.5333,172.6333,62.01,84,20,11.5,NZ,2022-04-06 00:40:31,light rain
25,Yellowknife,62.456,-114.3525,30.42,70,75,9.22,CA,2022-04-06 00:40:34,broken clouds
26,East London,-33.0153,27.9116,65.8,70,51,10.54,ZA,2022-04-06 00:36:15,broken clouds
27,New Norfolk,-42.7826,147.0587,58.71,36,0,2.75,AU,2022-04-06 00:40:34,clear sky
28,Kaeo,-35.1,173.7833,79.32,74,21,10.78,NZ,2022-04-06 00:40:34,few clouds
29,Punta Arenas,-53.15,-70.9167,39.31,70,20,4.61,CL,2022-04-06 00:40:35,few clouds
30,Castro,-24.7911,-50.0119,63.52,97,72,5.03,BR,2022-04-06 00:40:35,broken clouds
31,Provideniya,64.3833,-173.3,15.91,57,0,8.95,RU,2022-04-06 00:40:36,clear sky
32,Poum,-20.2333,164.0167,80.53,89,100,39.1,NC,2022-04-06 00:40:36,moderate rain
33,Kodiak,57.79,-152.4072,38.71,70,100,12.66,US,2022-04-06 00:40:37,overcast clouds
34,Riviere-Au-Renard,48.9957,-64.3971,32.29,84,9,15.95,CA,2022-04-06 00:40:37,clear sky
35,Cape Town,-33.9258,18.4232,58.12,89,75,9.22,ZA,2022-04-06 00:38:21,broken clouds
36,Sarh,9.1429,18.3923,83.52,45,98,7.36,TD,2022-04-06 00:40:37,overcast clouds
37,Dikson,73.5069,80.5464,-0.53,80,17,19.17,RU,2022-04-06 00:40:38,few clouds
38,Beatrice,40.2681,-96.747,50.18,76,100,6.91,US,2022-04-06 00:40:38,light rain
39,Avera,33.194,-82.5271,65.71,89,100,14.76,US,2022-04-06 00:40:38,overcast clouds
40,Isangel,-19.55,169.2667,84.31,79,100,4.61,VU,2022-04-06 00:40:39,light rain
41,Rikitea,-23.1203,-134.9692,79.18,66,87,16.69,PF,2022-04-06 00:40:39,overcast clouds
42,Bagdarin,54.4333,113.6,17.56,64,100,0.67,RU,2022-04-06 00:40:39,overcast clouds
43,Katherine,-14.4667,132.2667,86.32,62,0,2.3,AU,2022-04-06 00:40:40,clear sky
44,Tasiilaq,65.6145,-37.6368,17.76,90,47,7.09,GL,2022-04-06 00:40:40,scattered clouds
45,Norman Wells,65.282,-126.8329,15.84,41,20,5.75,CA,2022-04-06 00:36:54,few clouds
46,Luderitz,-26.6481,15.1594,59.76,75,0,11.9,NA,2022-04-06 00:40:41,clear sky
47,Hilo,19.7297,-155.09,78.53,76,100,6.91,US,2022-04-06 00:40:42,overcast clouds
48,Katsuura,35.1333,140.3,61.95,66,100,13.13,JP,2022-04-06 00:37:39,overcast clouds
49,Novo Aripuana,-5.1206,-60.3797,74.35,98,100,2.57,BR,2022-04-06 00:41:43,overcast clouds
50,Nikolskoye,59.7035,30.7861,28.29,78,100,12.17,RU,2022-04-06 00:41:43,overcast clouds
51,Moron,-34.6534,-58.6198,65.97,61,0,5.5,AR,2022-04-06 00:41:43,clear sky
52,Faanui,-16.4833,-151.75,82.92,76,6,19.73,PF,2022-04-06 00:41:44,light rain
53,Derzhavinsk,51.1,66.3167,30.25,87,24,8.03,KZ,2022-04-06 00:41:19,few clouds
54,Ponta Do Sol,32.6667,-17.1,59.0,64,48,8.03,PT,2022-04-06 00:41:44,scattered clouds
55,Tuy Hoa,13.0833,109.3,74.95,86,100,12.46,VN,2022-04-06 00:39:55,overcast clouds
56,Saint-Philippe,-21.3585,55.7679,75.22,88,100,9.4,RE,2022-04-06 00:41:44,light rain
57,Drayton Valley,53.2168,-114.9854,42.44,49,100,13.27,CA,2022-04-06 00:41:45,overcast clouds
58,Lavrentiya,65.5833,-171.0,2.17,75,3,5.17,RU,2022-04-06 00:41:45,clear sky
59,Matiri,-10.75,34.9,61.61,94,95,2.91,TZ,2022-04-06 00:41:45,overcast clouds
60,Albany,42.6001,-73.9662,54.25,59,100,5.55,US,2022-04-06 00:41:46,overcast clouds
61,Hovd,48.0056,91.6419,45.41,27,3,3.27,MN,2022-04-06 00:41:46,clear sky
62,Port Macquarie,-31.4333,152.9167,74.35,66,1,4.45,AU,2022-04-06 00:40:30,clear sky
63,Qaanaaq,77.484,-69.3632,11.39,90,100,1.52,GL,2022-04-06 00:41:46,overcast clouds
64,Arlit,18.7369,7.3853,86.2,6,98,10.09,NE,2022-04-06 00:41:47,overcast clouds
65,Kumo,10.0447,11.2122,84.99,23,48,4.43,NG,2022-04-06 00:41:47,scattered clouds
66,Airai,-8.9266,125.4092,71.58,59,74,2.44,TL,2022-04-06 00:39:46,broken clouds
67,Cabo San Lucas,22.8909,-109.9124,75.61,64,0,12.66,MX,2022-04-06 00:39:47,clear sky
68,Najran,17.4924,44.1277,65.05,13,0,2.82,SA,2022-04-06 00:41:48,clear sky
69,Meulaboh,4.1363,96.1285,77.77,84,100,2.98,ID,2022-04-06 00:41:48,overcast clouds
70,Araouane,18.9048,-3.5265,84.47,14,0,10.83,ML,2022-04-06 00:41:48,clear sky
71,Youghal,51.95,-7.8506,48.09,100,100,16.55,IE,2022-04-06 00:41:49,overcast clouds
72,Arraial Do Cabo,-22.9661,-42.0278,76.53,89,8,13.29,BR,2022-04-06 00:41:49,clear sky
73,Nemuro,43.3236,145.575,40.44,86,0,21.03,JP,2022-04-06 00:38:54,clear sky
74,Tigil,57.8,158.6667,29.44,89,88,5.32,RU,2022-04-06 00:41:49,overcast clouds
75,Kapaa,22.0752,-159.319,78.78,83,100,11.5,US,2022-04-06 00:41:49,light rain
76,Xunchang,28.4543,104.715,61.74,75,100,0.78,CN,2022-04-06 00:41:50,overcast clouds
77,Barrow,71.2906,-156.7887,-11.18,77,0,5.75,US,2022-04-06 00:41:50,clear sky
78,Pevek,69.7008,170.3133,-5.19,93,100,5.19,RU,2022-04-06 00:41:50,overcast clouds
79,Vaini,-21.2,-175.2,77.16,94,75,4.61,TO,2022-04-06 00:41:51,light intensity shower rain
80,Nanortalik,60.1432,-45.2371,30.63,88,51,1.72,GL,2022-04-06 00:41:51,broken clouds
81,Mehran,33.1222,46.1646,72.57,22,100,4.41,IR,2022-04-06 00:41:52,overcast clouds
82,Port Elizabeth,-33.918,25.5701,64.09,74,0,19.57,ZA,2022-04-06 00:41:52,clear sky
83,Georgetown,5.4112,100.3354,78.73,99,20,2.3,MY,2022-04-06 00:37:13,few clouds
84,Tacotalpa,17.6,-92.8167,90.86,65,4,3.06,MX,2022-04-06 00:41:52,clear sky
85,Ligayan,4.6533,119.4706,80.37,82,100,17.43,PH,2022-04-06 00:41:53,moderate rain
86,Thompson,55.7435,-97.8558,39.36,52,75,9.22,CA,2022-04-06 00:41:53,broken clouds
87,Conway,35.0887,-92.4421,71.58,85,0,4.63,US,2022-04-06 00:41:30,clear sky
88,Hermanus,-34.4187,19.2345,61.81,80,65,15.82,ZA,2022-04-06 00:41:54,light rain
89,Rio Grande,-32.035,-52.0986,56.95,67,0,8.19,BR,2022-04-06 00:41:55,clear sky
90,Nantucket,41.2835,-70.0995,46.51,81,0,3.44,US,2022-04-06 00:41:53,clear sky
91,Hithadhoo,-0.6,73.0833,82.26,69,16,4.23,MV,2022-04-06 00:41:55,few clouds
92,Bengkulu,-3.8004,102.2655,77.11,81,100,3.09,ID,2022-04-06 00:41:56,overcast clouds
93,Bowen,-20.0167,148.2333,83.34,60,9,8.7,AU,2022-04-06 00:41:56,clear sky
94,Kirensk,57.7853,108.1119,25.88,82,99,4.88,RU,2022-04-06 00:42:57,overcast clouds
95,Broome,42.2506,-75.833,55.78,43,0,6.91,US,2022-04-06 00:42:57,clear sky
96,Sioux Lookout,50.1001,-91.917,39.27,60,100,9.22,CA,2022-04-06 00:42:57,overcast clouds
97,Santo Antonio Do Ica,-3.1022,-67.9397,72.12,99,100,0.89,BR,2022-04-06 00:42:58,overcast clouds
98,Leningradskiy,69.3833,178.4167,-3.5,93,81,23.96,RU,2022-04-06 00:42:58,broken clouds
99,Acarau,-2.8856,-40.12,77.49,85,100,9.24,BR,2022-04-06 00:42:58,light rain
100,Dolzhanskaya,46.6311,37.8039,43.83,81,28,15.97,RU,2022-04-06 00:42:58,scattered clouds
101,San Cristobal,7.7669,-72.225,73.58,94,99,2.77,VE,2022-04-06 00:42:59,overcast clouds
102,Sao Joao Da Barra,-21.6403,-41.0511,75.83,93,51,8.23,BR,2022-04-06 00:42:59,broken clouds
103,Gunzenhausen,49.1,10.75,47.05,95,100,10.27,DE,2022-04-06 00:42:59,overcast clouds
104,Atuona,-9.8,-139.0333,79.48,72,0,21.72,PF,2022-04-06 00:43:00,clear sky
105,Necochea,-38.5473,-58.7368,62.98,55,13,9.44,AR,2022-04-06 00:43:00,few clouds
106,Goderich,43.7501,-81.7165,41.32,81,100,2.3,CA,2022-04-06 00:43:00,overcast clouds
107,Geraldton,-28.7667,114.6,68.41,64,8,10.36,AU,2022-04-06 00:43:01,clear sky
108,San Patricio,28.017,-97.5169,82.35,79,2,2.46,US,2022-04-06 00:43:01,clear sky
109,Jaffna,9.6685,80.0074,79.52,77,54,2.73,LK,2022-04-06 00:40:10,broken clouds
110,Viseu,40.661,-7.9097,38.86,78,98,1.32,PT,2022-04-06 00:43:01,overcast clouds
111,Osinovo,55.8809,48.881,26.69,90,100,8.3,RU,2022-04-06 00:43:02,overcast clouds
112,Haines Junction,60.7522,-137.5108,40.95,22,5,9.22,CA,2022-04-06 00:43:02,clear sky
113,Rundu,-17.9333,19.7667,67.91,67,17,4.12,NA,2022-04-06 00:43:03,few clouds
114,Lasa,46.6166,10.7002,45.48,82,42,1.45,IT,2022-04-06 00:43:03,scattered clouds
115,Beyla,8.6833,-8.6333,74.86,63,18,3.49,GN,2022-04-06 00:43:03,few clouds
116,Kahului,20.8947,-156.47,84.22,66,20,20.71,US,2022-04-06 00:43:04,few clouds
117,Hobart,-42.8794,147.3294,59.05,57,75,4.61,AU,2022-04-06 00:43:04,broken clouds
118,Namibe,-15.1961,12.1522,69.71,82,18,5.14,AO,2022-04-06 00:43:04,few clouds
119,San Juan,-31.5375,-68.5364,72.12,32,0,8.37,AR,2022-04-06 00:43:05,clear sky
120,Lompoc,34.6391,-120.4579,83.79,58,0,32.01,US,2022-04-06 00:43:05,clear sky
121,Arima,10.6333,-61.2833,78.44,78,20,5.75,TT,2022-04-06 00:43:06,few clouds
122,Aripuana,-9.1667,-60.6333,73.45,98,100,0.76,BR,2022-04-06 00:43:06,moderate rain
123,Enid,36.3956,-97.8784,77.16,56,0,10.36,US,2022-04-06 00:43:07,clear sky
124,Neftcala,39.3742,49.2472,51.3,82,96,5.97,AZ,2022-04-06 00:41:12,overcast clouds
125,Waingapu,-9.6567,120.2641,82.96,73,100,5.01,ID,2022-04-06 00:43:07,overcast clouds
126,Nicoya,10.1483,-85.452,82.09,73,98,2.71,CR,2022-04-06 00:43:08,overcast clouds
127,Furano,43.2818,142.4743,45.9,90,86,7.4,JP,2022-04-06 00:43:08,overcast clouds
128,Sao Filipe,14.8961,-24.4956,71.46,72,0,8.79,CV,2022-04-06 00:43:08,clear sky
129,Coihaique,-45.5752,-72.0662,56.01,82,75,8.05,CL,2022-04-06 00:43:09,broken clouds
130,Puro,12.4841,123.3827,81.91,77,99,12.66,PH,2022-04-06 00:43:09,overcast clouds
131,Palu,-0.8917,119.8707,85.42,64,75,2.37,ID,2022-04-06 00:43:09,broken clouds
132,Soyo,-6.1349,12.3689,76.93,90,100,7.14,AO,2022-04-06 00:43:10,overcast clouds
133,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.43,100,100,3.53,BR,2022-04-06 00:43:10,overcast clouds
134,Gautier,30.3858,-88.6117,75.29,93,100,5.75,US,2022-04-06 00:43:10,overcast clouds
135,Klaksvik,62.2266,-6.589,32.92,66,100,20.76,FO,2022-04-06 00:43:11,light snow
136,Esperance,-33.8667,121.9,62.44,66,91,8.46,AU,2022-04-06 00:43:11,overcast clouds
137,Tamandare,-8.7597,-35.1047,77.5,84,51,5.01,BR,2022-04-06 00:41:48,broken clouds
138,Port Hedland,-20.3167,118.5667,87.85,45,0,10.36,AU,2022-04-06 00:44:12,clear sky
139,Constitucion,-35.3333,-72.4167,55.76,85,13,11.12,CL,2022-04-06 00:44:13,few clouds
140,Kieta,-6.2167,155.6333,82.53,81,100,9.08,PG,2022-04-06 00:44:14,light rain
141,Biak,-0.9131,122.8766,80.55,74,100,5.73,ID,2022-04-06 00:44:14,overcast clouds
142,Roald,62.5833,6.1333,33.33,93,20,5.75,NO,2022-04-06 00:44:14,few clouds
143,Mahibadhoo,3.7833,72.9667,83.1,66,29,2.8,MV,2022-04-06 00:44:15,scattered clouds
144,Loubomo,-4.1997,12.6739,72.39,96,100,2.95,CG,2022-04-06 00:44:15,overcast clouds
145,Bredasdorp,-34.5322,20.0403,58.37,74,21,13.18,ZA,2022-04-06 00:44:15,few clouds
146,Butaritari,3.0707,172.7902,81.32,80,100,17.43,KI,2022-04-06 00:44:16,overcast clouds
147,Torbay,47.6666,-52.7314,33.76,86,75,19.57,CA,2022-04-06 00:44:16,broken clouds
148,Kavieng,-2.5744,150.7967,81.39,76,100,14.29,PG,2022-04-06 00:44:16,light rain
149,Iberia,29.9502,-91.7507,77.09,83,100,10.36,US,2022-04-06 00:41:38,overcast clouds
150,Hasaki,35.7333,140.8333,63.0,74,100,10.71,JP,2022-04-06 00:44:17,overcast clouds
151,Minas,-34.3759,-55.2377,57.31,45,0,5.79,UY,2022-04-06 00:41:26,clear sky
152,Kruisfontein,-34.0033,24.7314,61.88,75,98,12.21,ZA,2022-04-06 00:44:17,overcast clouds
153,Lynchburg,37.4138,-79.1423,60.94,92,100,0.0,US,2022-04-06 00:40:31,overcast clouds
154,Viedma,-40.8135,-62.9967,68.74,41,96,11.61,AR,2022-04-06 00:44:18,overcast clouds
155,Abeche,13.8292,20.8324,82.92,14,0,9.51,TD,2022-04-06 00:44:18,clear sky
156,Basco,20.4487,121.9702,75.07,74,100,21.99,PH,2022-04-06 00:44:18,overcast clouds
157,Dudinka,69.4058,86.1778,16.57,75,100,17.2,RU,2022-04-06 00:44:19,overcast clouds
158,Plover,44.4564,-89.544,41.99,66,100,12.66,US,2022-04-06 00:39:43,light rain
159,Pangoa,-12.1167,-73.0,70.02,95,15,2.51,PE,2022-04-06 00:44:19,few clouds
160,Lamar,33.6668,-95.5836,82.31,54,0,8.05,US,2022-04-06 00:44:19,clear sky
161,Egvekinot,66.3167,-179.1667,-2.11,79,37,2.55,RU,2022-04-06 00:44:20,scattered clouds
162,Lebu,-37.6167,-73.65,54.57,94,100,8.3,CL,2022-04-06 00:44:20,overcast clouds
163,Varhaug,58.6147,5.6457,33.85,60,100,5.53,NO,2022-04-06 00:44:20,overcast clouds
164,Souillac,-20.5167,57.5167,79.18,89,40,8.05,MU,2022-04-06 00:44:21,scattered clouds
165,Khatanga,71.9667,102.5,-2.2,89,12,11.36,RU,2022-04-06 00:44:21,few clouds
166,Taoudenni,22.6783,-3.9836,81.45,22,0,13.89,ML,2022-04-06 00:44:21,clear sky
167,Robertsport,6.7533,-11.3686,78.58,88,7,8.75,LR,2022-04-06 00:44:22,clear sky
168,Labuhan,-6.8844,112.2051,80.24,82,96,10.0,ID,2022-04-06 00:44:22,overcast clouds
169,Riberalta,-10.9833,-66.1,75.61,89,80,2.51,BO,2022-04-06 00:44:22,broken clouds
170,Plettenberg Bay,-34.0527,23.3716,59.05,83,57,8.86,ZA,2022-04-06 00:44:23,broken clouds
171,Bathsheba,13.2167,-59.5167,79.41,73,20,14.97,BB,2022-04-06 00:44:23,few clouds
172,Carnarvon,-24.8667,113.6333,77.07,61,0,11.5,AU,2022-04-06 00:44:23,clear sky
173,Longyearbyen,78.2186,15.6401,8.44,72,0,16.11,SJ,2022-04-06 00:40:00,clear sky
174,Barra,-11.0894,-43.1417,81.68,49,91,5.61,BR,2022-04-06 00:44:24,overcast clouds
175,Careva Cuprija,44.2658,18.4292,38.71,65,1,4.29,BA,2022-04-06 00:44:24,clear sky
176,Babol,36.5513,52.679,54.21,78,40,4.52,IR,2022-04-06 00:44:25,scattered clouds
177,Grantham,52.9115,-0.6418,51.69,78,100,21.85,GB,2022-04-06 00:44:25,overcast clouds
178,Hobyo,5.3505,48.5268,80.35,72,16,11.23,SO,2022-04-06 00:44:25,few clouds
179,Bonavista,48.6499,-53.1147,31.51,96,100,25.17,CA,2022-04-06 00:44:25,light snow
180,Road Town,18.4167,-64.6167,78.89,69,40,11.5,VG,2022-04-06 00:44:26,scattered clouds
181,Cao Bang,22.6667,106.25,73.81,58,7,0.65,VN,2022-04-06 00:40:16,clear sky
182,Strezhevoy,60.7333,77.5889,34.18,97,100,16.71,RU,2022-04-06 00:44:26,light snow
183,Santa Maria,-29.6842,-53.8069,65.5,94,0,3.44,BR,2022-04-06 00:44:27,clear sky
184,Port Lincoln,-34.7333,135.8667,64.9,68,38,18.12,AU,2022-04-06 00:45:27,scattered clouds
185,Zdounky,49.2277,17.319,46.76,85,97,10.92,CZ,2022-04-06 00:45:27,overcast clouds
186,Comodoro Rivadavia,-45.8667,-67.5,51.66,87,100,10.36,AR,2022-04-06 00:42:46,heavy intensity drizzle
187,Port Alfred,-33.5906,26.891,61.84,77,6,11.48,ZA,2022-04-06 00:45:28,clear sky
188,Tres Picos,15.8667,-93.5333,80.15,74,3,3.51,MX,2022-04-06 00:45:28,clear sky
189,Avarua,-21.2078,-159.775,86.05,70,100,11.5,CK,2022-04-06 00:45:28,overcast clouds
190,Margate,51.3813,1.3862,50.31,72,84,22.95,GB,2022-04-06 00:45:29,broken clouds
191,Bairiki,1.3292,172.9752,86.0,74,20,16.11,KI,2022-04-06 00:45:29,few clouds
192,La Sarre,48.8002,-79.1996,32.32,93,18,7.27,CA,2022-04-06 00:43:40,few clouds
193,Takoradi,4.8845,-1.7554,81.23,83,54,4.9,GH,2022-04-06 00:45:30,broken clouds
194,Maiduguri,11.8464,13.1603,84.45,8,43,6.85,NG,2022-04-06 00:45:30,scattered clouds
195,Portland,45.5234,-122.6762,56.7,54,75,5.75,US,2022-04-06 00:43:21,broken clouds
196,Litovko,49.2361,135.1742,29.84,60,100,20.62,RU,2022-04-06 00:45:30,overcast clouds
197,Yarmouth,41.7057,-70.2286,46.87,76,0,9.22,US,2022-04-06 00:45:31,clear sky
198,Chuy,-33.6971,-53.4616,56.79,71,0,6.64,UY,2022-04-06 00:45:31,clear sky
199,Guerrero Negro,27.9769,-114.0611,64.11,76,0,15.66,MX,2022-04-06 00:45:32,clear sky
200,Morris,40.8334,-74.5329,48.72,78,100,3.44,US,2022-04-06 00:41:07,overcast clouds
201,Vendome,47.8,1.0667,50.29,98,19,6.06,FR,2022-04-06 00:41:39,few clouds
202,Upernavik,72.7868,-56.1549,19.69,98,100,5.1,GL,2022-04-06 00:45:32,light snow
203,Namatanai,-3.6667,152.4333,77.86,90,100,9.42,PG,2022-04-06 00:45:33,moderate rain
204,Hambantota,6.1241,81.1185,73.74,100,20,1.14,LK,2022-04-06 00:45:33,few clouds
205,San Policarpo,12.1791,125.5072,81.82,80,100,14.29,PH,2022-04-06 00:45:34,overcast clouds
206,Ilulissat,69.2167,-51.1,26.62,86,75,6.91,GL,2022-04-06 00:45:34,broken clouds
207,Iqaluit,63.7506,-68.5145,2.93,77,75,25.32,CA,2022-04-06 00:45:35,broken clouds
208,Wakkanai,45.4094,141.6739,33.78,93,75,17.27,JP,2022-04-06 00:45:35,broken clouds
209,Minot,48.2325,-101.2963,37.62,93,100,10.36,US,2022-04-06 00:45:36,overcast clouds
210,Rawson,-43.3002,-65.1023,70.16,41,100,15.93,AR,2022-04-06 00:44:30,overcast clouds
211,Muros,42.7762,-9.0603,47.08,68,0,9.73,ES,2022-04-06 00:45:36,clear sky
212,Beihai,21.4833,109.1,72.18,72,13,0.76,CN,2022-04-06 00:45:36,few clouds
213,Berlevag,70.8578,29.0864,30.0,87,100,28.92,NO,2022-04-06 00:45:37,light snow
214,Maniitsoq,65.4167,-52.9,26.55,92,96,3.24,GL,2022-04-06 00:45:37,overcast clouds
215,Dauphin,51.1494,-100.0502,37.54,97,100,2.3,CA,2022-04-06 00:45:37,overcast clouds
216,Paredon,16.0333,-93.8667,81.64,68,5,4.54,MX,2022-04-06 00:45:38,clear sky
217,De-Kastri,51.4667,140.7833,33.87,49,100,12.33,RU,2022-04-06 00:45:38,overcast clouds
218,Bollnas,61.3482,16.3946,26.1,66,1,11.12,SE,2022-04-06 00:45:38,clear sky
219,Melfi,40.9965,15.6514,41.49,89,35,4.54,IT,2022-04-06 00:45:38,scattered clouds
